Movie_name,Year_of_release,Certification,Duration,imdb_rating,Genre,Votes,Metascore
Finding 'Ohana,2021,7,123 min,6.1,"Action, Adventure, Comedy","7,877",69
The Married Woman,2021– ,18,30 min,9.4,"Drama, Romance","7,545",Not available
Mumbai Saga,2021,A,135 min,6.1,"Action, Crime","7,379",Not available
The Girl on the Train,2021,16,120 min,4.4,"Crime, Drama, Mystery","7,353",Not available
Ferry,2021,18,106 min,7.0,"Action, Crime, Drama","7,324",Not available
The Equalizer,2021– ,"
Action, Crime, Drama            ",Not available,4.8,"Action, Crime, Drama","7,201",Not available
Pagglait,2021,13,114 min,6.9,"Comedy, Drama","7,176",Not available
" Love, Death & Robots",2019– ,18,18 min,8.1,"Animation, Short, Comedy","7,141",Not available
 Invincible,2021– ,18,45 min,9.7,"Animation, Action, Adventure","7,068",Not available
Time,2021– ,59 min,59 min,8.5,"Crime, Drama","6,991",Not available
 Aspirants,2021– ,Not Rated,46 min,9.6,Drama,"6,884",Not available
Kaagaz,2021,UA,109 min,7.5,"Biography, Comedy, Drama","6,834",Not available
Sandeep Aur Pinky Faraar,2021,UA,125 min,6.3,"Comedy, Crime, Drama","6,779",Not available
Cosmic Sin,2021,R,88 min,2.5,"Action, Adventure, Sci-Fi","6,761",9
 Invincible,2021– ,18,48 min,9.6,"Animation, Action, Adventure","6,694",Not available
Binsenjo,2021– ,16,80 min,8.6,"Comedy, Crime, Romance","6,673",Not available
" Love, Death & Robots",2019– ,18,12 min,6.5,"Animation, Short, Comedy","6,636",Not available
Sentinelle,2021,18,80 min,4.7,"Action, Crime, Drama","6,628",Not available
Debris,2021,"
Drama, Mystery, Sci-Fi            ",Not available,6.5,"Drama, Mystery, Sci-Fi","6,500",Not available
Roohi,2021,UA,134 min,4.3,"Comedy, Horror","6,490",Not available
Operation Varsity Blues: The College Admissions Scandal,2021,13,99 min,7.0,"Documentary, Crime, Drama","6,466",70
" Love, Death & Robots",2019– ,18,18 min,7.9,"Animation, Short, Comedy","6,388",Not available
Music,2021,PG-13,107 min,3.1,"Drama, Musical","6,370",23
Joji,2021,13,113 min,7.9,"Crime, Drama","6,368",Not available
Bang Baang,2021– ,18,18 min,6.8,"Action, Thriller","6,313",Not available
Clarice,2021– ,60 min,60 min,6.5,"Crime, Drama, Mystery","6,306",Not available
" Love, Death & Robots",2019– ,18,13 min,6.1,"Animation, Short, Comedy","6,293",Not available
The Ice Road,2021,PG-13,109 min,5.5,"Adventure, Drama, Thriller","6,247",41
SAS: Red Notice,2021,R,124 min,4.9,"Action, Thriller","6,231",Not available
Fatma,2021– ,16,40 min,7.5,"Crime, Drama, Thriller","6,223",Not available
Sherni,2021,13,131 min,7.0,Drama,"6,206",Not available
Sky Rojo,2021– ,18,31 min,6.5,"Action, Adventure, Crime","6,197",Not available
Tell Me Your Secrets,I 2021– ,"
Crime, Drama, Mystery            ",Not available,7.4,"Crime, Drama, Mystery","6,176",Not available
Snabba Cash,2021– ,18,52 min,7.6,"Action, Crime, Drama","6,127",Not available
 Invincible,2021– ,18,47 min,9.0,"Animation, Action, Adventure","6,114",Not available
Walker,2021– ,13,Not available,5.9,"Action, Crime, Drama","6,103",Not available
Sunflower,2021– ,A,36 min,7.7,"Comedy, Crime","6,073",Not available
 The Walking Dead,2010–2022,18+,43 min,4.1,"Drama, Horror, Thriller","6,026",Not available
 Aspirants,2021– ,Not Rated,38 min,9.6,Drama,"5,929",Not available
 The New York Times Presents,2020– ,74 min,74 min,6.9,Documentary,"5,914",Not available
The Mosquito Coast,2021– ,A,Not available,7.0,"Adventure, Drama, Thriller","5,890",Not available
Jathi Ratnalu,2021,U,145 min,7.6,Comedy,"5,873",Not available
Allen v. Farrow,2021,256 min,256 min,6.4,"Documentary, Biography, Crime","5,857",Not available
 The Family Man,2019– ,16+,Not available,9.3,"Action, Comedy, Drama","5,822",Not available
Billie Eilish: The World's a Little Blurry,2021,A,140 min,7.8,"Documentary, Biography, Music","5,817",70
Hitman's Wife's Bodyguard,2021,R,100 min,6.5,"Action, Comedy, Crime","5,813",32
The Pembrokeshire Murders,2021,144 min,144 min,7.1,"Crime, Drama","5,711",Not available
" Love, Death & Robots",2019– ,18,7 min,7.4,"Animation, Short, Comedy","5,706",Not available
 Aspirants,2021– ,Not Rated,49 min,9.8,Drama,"5,699",Not available
Crisis,2021,R,118 min,6.1,"Drama, Thriller","5,695",40
Pretend It's a City,2021,13,203 min,8.1,"Documentary, Biography, Comedy","5,671",Not available
The Great Indian Kitchen,2021,All,100 min,8.3,"Comedy, Drama","5,600",Not available
 The Walking Dead,2010–2022,18+,40 min,5.1,"Drama, Horror, Thriller","5,592",Not available
" Love, Death & Robots",2019– ,18,11 min,7.0,"Animation, Short, Comedy","5,580",Not available
Dracula,2021– ,"
Comedy, Drama            ",Not available,8.7,"Comedy, Drama","5,540",Not available
RH Project,2021,18,239 min,7.0,"Documentary, Crime, History","5,456",Not available
 Aspirants,2021– ,Not Rated,45 min,9.7,Drama,"5,438",Not available
" Love, Death & Robots",2019– ,18,13 min,7.0,"Animation, Short, Comedy","5,414",Not available
 Broken But Beautiful,2018– ,18,Not available,9.6,"Drama, Romance","5,402",Not available
Young Rock,2021– ,"
Comedy            ",Not available,7.1,Comedy,"5,317",Not available
Krack,2021,UA,154 min,7.3,"Action, Crime, Thriller","5,285",Not available
" Love, Death & Robots",2019– ,18,13 min,6.6,"Animation, Short, Comedy","5,232",Not available
November Story,2021– ,A,40 min,8.0,"Crime, Thriller","5,230",Not available
The Last Hour,2021– ,A,36 min,7.5,"Crime, Drama, Mystery","5,207",Not available
 Invincible,2021– ,18,46 min,9.3,"Animation, Action, Adventure","5,202",Not available
Made for Love,2021– ,30 min,30 min,6.9,"Comedy, Drama, Sci-Fi","5,132",Not available
